,comments,label
1017,이미 11프로 사용중인데 그냥 11프로 써두되겠네요,
1018,💸,
1019,💸,
1020,💸,
1021,11프로인데 12프로로 바꾸고 싶어요 ㅠㅜ.. 스펙보니까화면도 더 크고 흑흡,
1022,12프로 사고싶어요 ㅠㅠ,
1023,헉 폰알못은 뭐가 달라진건지 모르겠어서 11프로 쓰는중인데 다행이라고 생각했숩니다..,
1024,동영상 촬영 거의 안하니 달라진게 몇 없네요,
1025,11pro 좋아용 ㅎㅎ,
1026,11프로 ㄹㅇ 잘 쓰는 중...인덕션 절대 살 일 없을거라고 생각 했는데 보다보니 ㄱㅊ음,
1027,와 가격 더 저렴한게...,
1028,가격이 싸지긴 했네요 기본 용량이 128인거 생각하면,
1029,좋으네요 아직도 텐에스 할부 갚고 있는데 벌써 12라니 ㅜㅜ,
1030,빨리 12프로 사고싶어요ㅠㅠㅠ,
1031,왜 화면은 더 커지나요 7크기가 딱 좋은데,
1032,사진기능 다 담으려면 크기는 어쩔수 없는거 같습니다! 이번에 미니도 같이 나오니까 작은 크기를 원하시는분은 미니 사시면 될거 같아요ㅎㅎ,
1033,이어팟 안준다는 얘기 있었는데 구성품에 있네요? 어댑터도 20W를 안준다는거지 C타입 어댑터랑 라이트닝 케이블은 는 준다는건가요....?,
1034,14나오면 갈게요~,
1035,Wow...,
1036,Wa.....,
1037,봐도봐도 대단,
1038,👏,
1039,👍,
1040,😮,
1041,👍,
1042,대단하네요,
1043,오마이갓김치,
1044,우와 진짜 라이언 닮으셨다...,
1045,진짜 대단하셔요...,
1046,엇 카톡 서울대생들이 만들었다고 들었었는데 루머였군요,
1047,아 저분 서울대생이시래용^^,
1048,^.^ ㉻㉻㉻㉻㉻㉻㉻,
1049,와....대박,
1050,진짜 선견지명이 있으시네요 ...,
1051,와..,
1052,오아우....,
1053,제발 카카오프렌즈 버즈 라이브 케이스 만들어줘요 사장님 삼성이 그렇게도 싫나오 흑흑흑,
1054,그파 예쁘다... 근데 퍼블도 예쁜데 아아악,
1055,와 진짜 기계같다기계 맞긴 하지만..,
1056,와 너무 이쁜데요..?,
1057,확실히 아이폰이 그 감성이 있네요 뭔가 워.. 확실히 사고싶게 생기긴 했네요,
1058,갤럭시도 저렇게 안 만들어주려나..,
1059,와 미쳣다 진짜루......진짜 사고싶다,
1060,와 진짜 이쁘네..,
1061,와 실물 대박이네요..,
1062,😮,
1063,진짜 무족권 산다,
1064,유광 예쁘다,
1065,😮,
1066,😮,
1067,📥,
1068,😥,
1069,😂,
1070,노이즈 마케팅,
1071,💯,
1072,지금 욕 먹어도 삼성은 또 따라 할거고 업계 standard가 되겠죠 😵,
1073,100%,
1074,😥,
1075,엘지ㅠㅍ,
1076,충전기 이어팟 안주는거 욕해도 마진 남는거 보고 나면.. 삼성도 언젠가 따라하겠죠. 가격이나 내려라 ㅜㅜ,
1077,😮,
1078,😮,
1079,📥,
1080,😥,
1081,😂,
1082,노이즈 마케팅,
1083,💯,
1084,지금 욕 먹어도 삼성은 또 따라 할거고 업계 standard가 되겠죠 😵,
1085,100%,
1086,😥,
1087,엘지ㅠㅍ,
1088,충전기 이어팟 안주는거 욕해도 마진 남는거 보고 나면.. 삼성도 언젠가 따라하겠죠. 가격이나 내려라 ㅜㅜ,
1089,😍,
1090,👍,
1091,화이트 짱예,
1092,충전기 안 준다고 해서 11 프로 사려고 했는데 진짜 너무 예쁘다...,
1093,"12 출시한 뒤로 11프로도 충전기 안준대영..^^..,,,,,,,",
1094,세상에 하.......^^.......,
1095,골드 진짜 ㅜ,
1096,블랙 간지 ㄷ ㄷ,
1097,블랙 없어요! 블랙 같아 보이는 건 아마 그래파이트 색일 거예요,
1098,실버 최고 예쁘다,
1099,골드가 정말...정말 찐골드가 나오다녀... 로즈빛 도는 골드없음 못사는 아이폰 유저 어케 살라구요... xs 발열 심해져서 바꾸려니까...,
1100,뭘 사야할지 너무 고민중임니다ㅠㅠ,
1101,그래파이트 생각 없었는데 진짜 예쁘당.......아 고민되네요 뭐사지,
1102,맨 마지막이 제일 예뻐 보여요!,
1103,헐 골드예쁘다 미나그쓰는중이라 골드사고싶네,
1104,실버 화이트에 가까우면 좋겠어요ㅠㅠㅠㅠㅠㅜㅜ,
1105,저두요...ㅠ제발,
1106,아니.. 제트 플립 사려고 했는데 넘 고민된다,
1107,실버 실물도 흰색일까요..?ㅜ,
1108,저 이번에 12 프로 퍼시픽 블루 사려구요 ㅎㅎ 내가 또 블루 처돌이인건 어떻게 알아가지구 애플,
1109,헤헤 실버 사야징,
1110,"와 골드 ,,",
1111,"실버 실물 보고 사야지,,,,,,,",
1112,저 푸르스름한건 너무 별로고 그위에 검정계열이 가장 예쁘네요,
1113,그래파이튼가 뭐신가 암튼 스그같은 친구 넘 예뻐요 .......,
1114,실버최고다,
1115,제트플립으로 갈까 했는데 또 고민되네 ...ㅠ,
1116,그래파이트 예쁨ㅠㅠㅠ 스그 느낌 최고,
1117,역시 애플은 실버,
1118,"퍼시픽 블루 사야지,,,",
1119,역시 실버,
1120,블루 넘이뻐ㅜ,
1121,실버랑 그래파이트 중에 너무 고민된다ㅜㅜ,
1122,퍼시픽블루로 갑니다 취향 저격 제대로 당했어요 후우,
1123,에바 개못생겼다,
1124,저기다 고기구워도 되겠다,
1125,구라같음 카메라 4개까지는 안넣을듯,
1126,망원 카메라 두개 들어가는걸로 스펙 거의 확정났어요! 망원 두개에 광각 한개 초광각 한개 해서 총 4개 들어가는걸로... http://www.thelec.kr/news/articleView.html?idxno=7642,
1127,엥... 에바네여.....,
1128,"아 안돼 이러지마ㅠㅠ s20 건너뛰었단 말이에요ㅠㅠ s8이나 s10때가 좋았는데,,,ㅠㅠ",
1129,카메라 머선일,
1130,엑 저게뭐야,
1131,💸,
1132,제발 카메라 크기 좀 줄여주세요.. 왜 자꾸 카메라에 이를 가는건지.... 무슨 폰이 dslr도 아니고...,
1133,왜 디자인을 저 따구로 하지?,
1134,울트라니까 이해갑니당,
1135,"기본모델은 안 그래서..울트라는 20 시리즈 올해것도 못생겼더라구요ㅋㅋㅋㅋ아무래도 카메라에 초점맞춰서 그런듯싶은데.. 20+는 충분히 예쁘고, 카메라 좋으니 이거 사세요~~~갤럭시 체고색상만 갤10 프리즘화이트 내주세요,,+) 갤10,20이 예쁜 시리즈였네요ㅎ 돌려내 샘성..",
1136,추가로 본문에 올렸는데 갤럭시 S21도 유출됐어요!,
1137,"갤21 뭐야 디자인 돌려내옄ㅋㅋㅋㅋㅋㅋㅋㄱ비주얼 충격적인데요..20 울트라가 워낙 못생겼어서 21울트라도 별로 기대 안 했는데.. 갤21이 저를 배신했어요,,",
1138,음~ 진작에 바꾸길 잘했군요...^^노트20울트라는 그래도 예뻤는데...,
1139,부회장님은 뭐쓰세요?,
1140,노트20울트라 사용합니다^^,
1141,진짜...카메라...ㅋㅋ....제발 애플좀 따라하지말고 너만의 디자인을 가라고.............,
1142,....,
1143,아 왜그래 나 갤럭시 쳐돌인데 제발 정신차려 갤럭시 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1144,카툭튀 좀..,
1145,이해가 안 가는 게 요즘 폰들 왜 디자인 포기하면서까지 카메라를 고집하는 거죠...? 진짜 이해 안 되네요... 일반인들에겐 진짜 불필요한 스펙의 카메라를 고집하면서 디자인도 망...,
1146,아 s20만큼만만들어줘요ㅠㅠㅠㅠ,
1147,"S10이 디자인은 진짜 예뻤는데,,",
1148,카메라 오반데,
1149,갤럭시 갈수록 디자인 왜 이래요 ㅠㅠㅠㅠㅠㅠㅠㅠ,
1150,"엥 S21은 저 카메라일 거면 S20이나 S10, 노트텐처럼 해도 괜찮을 거 같은데... 왜... 울트라는 기대도 안 했지만... 여기저기 왜 다 핸드폰이...",
1151,아니 카메라가 무슨일....,
1152,카메라 가운데 두면 훨씬 나을 것 같은데 노트9?10? 디자인처럼,
1153,갈수록 가관이네,
1154,S20플러스 에디션 사길 잘했다는 생각이 드네요,
1155,카메라...셀카카메라나 좀 신경써주세요.....,
1156,제 발 엣지좀 빼ㅐㅏ애ㅐㅐㅐ!!!!!,
1157,카메라좀집어치우라~~~~,
1158,노트 사길 잘했네요..,
1159,다음 폰은... 뭘로 바꾼담...,
1160,요즘 어느 곳이나 카메라에 너무 집중하는 느낌..안 예쁘다구요ㅠㅠ,
1161,음....,
1162,카메라부분 오려놓은것 같이 생겼다..,
1163,디자인 머선일이고...ㅠㅠ 다음폰은 사과폰,
1164,카메라 두개도 적당해요 ..,
1165,그냥 놑10+에 정착해서 살래요...,
1166,이제 사실 더 발전할게 없어서 카메라로 승부보는거죠 뭐.... 근데 그래도 좀 예쁘게는 힘들까요...... 근데 21 뭔가 보다보니 예쁨것같기도해요...,
1167,버티다 s20샀는데 사길 잘한듯......,
1168,아 근데 예쁜 거 같은데 뭔가...,
1169,그냥 아이폰 사야겠다...디자인 무슨일,
1170,s21에 노트펜 들어가고 노트시리즈 단종시킨다는 얘기도 들었는데 지금 렌더링 이미지로는 펜은 없는 건가여?,
1171,"넵. 물론 렌더링 유출도 100% 정확하다고 까지는 할 수 없지만 어쨋든 약 90% 이상은 큰틀에서는 확정적이라 카메라 디자인같은 부분은 바뀌지는 않을텐데, 최종적으로 어떻게 결정된지는 모르겠으나 만약 이렇게 되면 만약 S Pen을 제공한다 하더라도 추가 악세서리로 제공할 가능성도 있습니다.",
1172,아하 감사합니다ㅜㅠ,
1173,카툭튀만 빼면 이쁜데요? 삼성만 써와서 그런가 되게 이뻐보여요ㅋㅋㅋ,
1174,카메라가 엉망진창... 디자인이 정말 저게 최선입니까...ㅠㅠ,
1175,디자인 중국폰과 구글폰 그 중간... 아니 폴더블폰은 디자인 기가 막히게 뽑으면서 일반폰은 왜그를까,
1176,허..............,
1177,디자인... 너무 구린걸..,
1178,하 뒷면 갈수록...,
1179,노트텐 만들던 기억으로 삼성ㅠㅠㅠㅠㅠㅠ 뭔가 항상 변화 있는건 좋은데 엉엉ㅠㅠㅠ 모르겠다 21예정은 묘하게 자꾸보면 정들거같기도하고...,
1180,실물을 보면 난 또 호로록 감기겠지...,
1181,삼성은 실물이 예뻐서 나오면 또 괜찮을거같아요,
1182,"노트20 울트라 카툭튀만 아니면 디자인 이쁘던데,,, 카메라 링?부분ㅇㅇ 20 울트라 디자인에서 카툭튀만 수정 보지ㅠ",
1183,요번 울트라 화질 대박이던데 사눈박이면 더 대박이긴 할꺼같은데 저 엄청 못생긴거 뭔가요.... 저건 아무리 소재가 예뻐도 카메라들어가는게 좀 오반데,
1184,차라리 전 이게 나은 거 같아요,
1185,으악 차라리 울트라가 낫네요 ...s21 왜저랩 ㅠㅠ,
1186,항상 못생겼다 욕하지만...난또 실물보면  감겨서 지르겠지...ㅎㅎㅎㅎ,
1187,와 4개면 카메라 개쩔겠다 사고 싶어요ㅠㅠ,
1188,에바 개못생겼다,
1189,저기다 고기구워도 되겠다,
1190,구라같음 카메라 4개까지는 안넣을듯,
1191,망원 카메라 두개 들어가는걸로 스펙 거의 확정났어요! 망원 두개에 광각 한개 초광각 한개 해서 총 4개 들어가는걸로... http://www.thelec.kr/news/articleView.html?idxno=7642,
1192,엥... 에바네여.....,
1193,"아 안돼 이러지마ㅠㅠ s20 건너뛰었단 말이에요ㅠㅠ s8이나 s10때가 좋았는데,,,ㅠㅠ",
1194,카메라 머선일,
1195,엑 저게뭐야,
1196,💸,
1197,제발 카메라 크기 좀 줄여주세요.. 왜 자꾸 카메라에 이를 가는건지.... 무슨 폰이 dslr도 아니고...,
1198,왜 디자인을 저 따구로 하지?,
1199,울트라니까 이해갑니당,
1200,"기본모델은 안 그래서..울트라는 20 시리즈 올해것도 못생겼더라구요ㅋㅋㅋㅋ아무래도 카메라에 초점맞춰서 그런듯싶은데.. 20+는 충분히 예쁘고, 카메라 좋으니 이거 사세요~~~갤럭시 체고색상만 갤10 프리즘화이트 내주세요,,+) 갤10,20이 예쁜 시리즈였네요ㅎ 돌려내 샘성..",
1201,추가로 본문에 올렸는데 갤럭시 S21도 유출됐어요!,
1202,"갤21 뭐야 디자인 돌려내옄ㅋㅋㅋㅋㅋㅋㅋㄱ비주얼 충격적인데요..20 울트라가 워낙 못생겼어서 21울트라도 별로 기대 안 했는데.. 갤21이 저를 배신했어요,,",
1203,음~ 진작에 바꾸길 잘했군요...^^노트20울트라는 그래도 예뻤는데...,
1204,부회장님은 뭐쓰세요?,
1205,노트20울트라 사용합니다^^,
1206,진짜...카메라...ㅋㅋ....제발 애플좀 따라하지말고 너만의 디자인을 가라고.............,
1207,....,
1208,아 왜그래 나 갤럭시 쳐돌인데 제발 정신차려 갤럭시 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1209,카툭튀 좀..,
1210,이해가 안 가는 게 요즘 폰들 왜 디자인 포기하면서까지 카메라를 고집하는 거죠...? 진짜 이해 안 되네요... 일반인들에겐 진짜 불필요한 스펙의 카메라를 고집하면서 디자인도 망...,
1211,아 s20만큼만만들어줘요ㅠㅠㅠㅠ,
1212,"S10이 디자인은 진짜 예뻤는데,,",
1213,카메라 오반데,
1214,갤럭시 갈수록 디자인 왜 이래요 ㅠㅠㅠㅠㅠㅠㅠㅠ,
1215,"엥 S21은 저 카메라일 거면 S20이나 S10, 노트텐처럼 해도 괜찮을 거 같은데... 왜... 울트라는 기대도 안 했지만... 여기저기 왜 다 핸드폰이...",
1216,아니 카메라가 무슨일....,
1217,카메라 가운데 두면 훨씬 나을 것 같은데 노트9?10? 디자인처럼,
1218,갈수록 가관이네,
1219,S20플러스 에디션 사길 잘했다는 생각이 드네요,
1220,카메라...셀카카메라나 좀 신경써주세요.....,
1221,제 발 엣지좀 빼ㅐㅏ애ㅐㅐㅐ!!!!!,
1222,카메라좀집어치우라~~~~,
1223,노트 사길 잘했네요..,
1224,다음 폰은... 뭘로 바꾼담...,
1225,요즘 어느 곳이나 카메라에 너무 집중하는 느낌..안 예쁘다구요ㅠㅠ,
1226,음....,
1227,카메라부분 오려놓은것 같이 생겼다..,
1228,디자인 머선일이고...ㅠㅠ 다음폰은 사과폰,
1229,카메라 두개도 적당해요 ..,
1230,그냥 놑10+에 정착해서 살래요...,
1231,이제 사실 더 발전할게 없어서 카메라로 승부보는거죠 뭐.... 근데 그래도 좀 예쁘게는 힘들까요...... 근데 21 뭔가 보다보니 예쁨것같기도해요...,
1232,버티다 s20샀는데 사길 잘한듯......,
1233,아 근데 예쁜 거 같은데 뭔가...,
1234,그냥 아이폰 사야겠다...디자인 무슨일,
1235,s21에 노트펜 들어가고 노트시리즈 단종시킨다는 얘기도 들었는데 지금 렌더링 이미지로는 펜은 없는 건가여?,
1236,"넵. 물론 렌더링 유출도 100% 정확하다고 까지는 할 수 없지만 어쨋든 약 90% 이상은 큰틀에서는 확정적이라 카메라 디자인같은 부분은 바뀌지는 않을텐데, 최종적으로 어떻게 결정된지는 모르겠으나 만약 이렇게 되면 만약 S Pen을 제공한다 하더라도 추가 악세서리로 제공할 가능성도 있습니다.",
1237,아하 감사합니다ㅜㅠ,
1238,카툭튀만 빼면 이쁜데요? 삼성만 써와서 그런가 되게 이뻐보여요ㅋㅋㅋ,
1239,카메라가 엉망진창... 디자인이 정말 저게 최선입니까...ㅠㅠ,
1240,디자인 중국폰과 구글폰 그 중간... 아니 폴더블폰은 디자인 기가 막히게 뽑으면서 일반폰은 왜그를까,
1241,허..............,
1242,디자인... 너무 구린걸..,
1243,하 뒷면 갈수록...,
1244,노트텐 만들던 기억으로 삼성ㅠㅠㅠㅠㅠㅠ 뭔가 항상 변화 있는건 좋은데 엉엉ㅠㅠㅠ 모르겠다 21예정은 묘하게 자꾸보면 정들거같기도하고...,
1245,실물을 보면 난 또 호로록 감기겠지...,
1246,삼성은 실물이 예뻐서 나오면 또 괜찮을거같아요,
1247,"노트20 울트라 카툭튀만 아니면 디자인 이쁘던데,,, 카메라 링?부분ㅇㅇ 20 울트라 디자인에서 카툭튀만 수정 보지ㅠ",
1248,요번 울트라 화질 대박이던데 사눈박이면 더 대박이긴 할꺼같은데 저 엄청 못생긴거 뭔가요.... 저건 아무리 소재가 예뻐도 카메라들어가는게 좀 오반데,
1249,차라리 전 이게 나은 거 같아요,
1250,으악 차라리 울트라가 낫네요 ...s21 왜저랩 ㅠㅠ,
1251,항상 못생겼다 욕하지만...난또 실물보면  감겨서 지르겠지...ㅎㅎㅎㅎ,
1252,와 4개면 카메라 개쩔겠다 사고 싶어요ㅠㅠ,
1253,에바 개못생겼다,
1254,저기다 고기구워도 되겠다,
1255,구라같음 카메라 4개까지는 안넣을듯,
1256,망원 카메라 두개 들어가는걸로 스펙 거의 확정났어요! 망원 두개에 광각 한개 초광각 한개 해서 총 4개 들어가는걸로... http://www.thelec.kr/news/articleView.html?idxno=7642,
1257,엥... 에바네여.....,
1258,"아 안돼 이러지마ㅠㅠ s20 건너뛰었단 말이에요ㅠㅠ s8이나 s10때가 좋았는데,,,ㅠㅠ",
1259,카메라 머선일,
1260,엑 저게뭐야,
1261,💸,
1262,제발 카메라 크기 좀 줄여주세요.. 왜 자꾸 카메라에 이를 가는건지.... 무슨 폰이 dslr도 아니고...,
1263,왜 디자인을 저 따구로 하지?,
1264,울트라니까 이해갑니당,
1265,"기본모델은 안 그래서..울트라는 20 시리즈 올해것도 못생겼더라구요ㅋㅋㅋㅋ아무래도 카메라에 초점맞춰서 그런듯싶은데.. 20+는 충분히 예쁘고, 카메라 좋으니 이거 사세요~~~갤럭시 체고색상만 갤10 프리즘화이트 내주세요,,+) 갤10,20이 예쁜 시리즈였네요ㅎ 돌려내 샘성..",
1266,추가로 본문에 올렸는데 갤럭시 S21도 유출됐어요!,
1267,"갤21 뭐야 디자인 돌려내옄ㅋㅋㅋㅋㅋㅋㅋㄱ비주얼 충격적인데요..20 울트라가 워낙 못생겼어서 21울트라도 별로 기대 안 했는데.. 갤21이 저를 배신했어요,,",
1268,음~ 진작에 바꾸길 잘했군요...^^노트20울트라는 그래도 예뻤는데...,
1269,부회장님은 뭐쓰세요?,
1270,노트20울트라 사용합니다^^,
1271,진짜...카메라...ㅋㅋ....제발 애플좀 따라하지말고 너만의 디자인을 가라고.............,
1272,....,
1273,아 왜그래 나 갤럭시 쳐돌인데 제발 정신차려 갤럭시 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1274,카툭튀 좀..,
1275,이해가 안 가는 게 요즘 폰들 왜 디자인 포기하면서까지 카메라를 고집하는 거죠...? 진짜 이해 안 되네요... 일반인들에겐 진짜 불필요한 스펙의 카메라를 고집하면서 디자인도 망...,
1276,아 s20만큼만만들어줘요ㅠㅠㅠㅠ,
1277,"S10이 디자인은 진짜 예뻤는데,,",
1278,카메라 오반데,
1279,갤럭시 갈수록 디자인 왜 이래요 ㅠㅠㅠㅠㅠㅠㅠㅠ,
1280,"엥 S21은 저 카메라일 거면 S20이나 S10, 노트텐처럼 해도 괜찮을 거 같은데... 왜... 울트라는 기대도 안 했지만... 여기저기 왜 다 핸드폰이...",
1281,아니 카메라가 무슨일....,
1282,카메라 가운데 두면 훨씬 나을 것 같은데 노트9?10? 디자인처럼,
1283,갈수록 가관이네,
1284,S20플러스 에디션 사길 잘했다는 생각이 드네요,
1285,카메라...셀카카메라나 좀 신경써주세요.....,
1286,제 발 엣지좀 빼ㅐㅏ애ㅐㅐㅐ!!!!!,
1287,카메라좀집어치우라~~~~,
1288,노트 사길 잘했네요..,
1289,다음 폰은... 뭘로 바꾼담...,
1290,요즘 어느 곳이나 카메라에 너무 집중하는 느낌..안 예쁘다구요ㅠㅠ,
1291,음....,
1292,카메라부분 오려놓은것 같이 생겼다..,
1293,디자인 머선일이고...ㅠㅠ 다음폰은 사과폰,
1294,카메라 두개도 적당해요 ..,
1295,그냥 놑10+에 정착해서 살래요...,
1296,이제 사실 더 발전할게 없어서 카메라로 승부보는거죠 뭐.... 근데 그래도 좀 예쁘게는 힘들까요...... 근데 21 뭔가 보다보니 예쁨것같기도해요...,
1297,버티다 s20샀는데 사길 잘한듯......,
1298,아 근데 예쁜 거 같은데 뭔가...,
1299,그냥 아이폰 사야겠다...디자인 무슨일,
1300,s21에 노트펜 들어가고 노트시리즈 단종시킨다는 얘기도 들었는데 지금 렌더링 이미지로는 펜은 없는 건가여?,
1301,"넵. 물론 렌더링 유출도 100% 정확하다고 까지는 할 수 없지만 어쨋든 약 90% 이상은 큰틀에서는 확정적이라 카메라 디자인같은 부분은 바뀌지는 않을텐데, 최종적으로 어떻게 결정된지는 모르겠으나 만약 이렇게 되면 만약 S Pen을 제공한다 하더라도 추가 악세서리로 제공할 가능성도 있습니다.",
1302,아하 감사합니다ㅜㅠ,
1303,카툭튀만 빼면 이쁜데요? 삼성만 써와서 그런가 되게 이뻐보여요ㅋㅋㅋ,
1304,카메라가 엉망진창... 디자인이 정말 저게 최선입니까...ㅠㅠ,
1305,디자인 중국폰과 구글폰 그 중간... 아니 폴더블폰은 디자인 기가 막히게 뽑으면서 일반폰은 왜그를까,
1306,허..............,
1307,디자인... 너무 구린걸..,
1308,하 뒷면 갈수록...,
1309,노트텐 만들던 기억으로 삼성ㅠㅠㅠㅠㅠㅠ 뭔가 항상 변화 있는건 좋은데 엉엉ㅠㅠㅠ 모르겠다 21예정은 묘하게 자꾸보면 정들거같기도하고...,
1310,실물을 보면 난 또 호로록 감기겠지...,
1311,삼성은 실물이 예뻐서 나오면 또 괜찮을거같아요,
1312,"노트20 울트라 카툭튀만 아니면 디자인 이쁘던데,,, 카메라 링?부분ㅇㅇ 20 울트라 디자인에서 카툭튀만 수정 보지ㅠ",
1313,요번 울트라 화질 대박이던데 사눈박이면 더 대박이긴 할꺼같은데 저 엄청 못생긴거 뭔가요.... 저건 아무리 소재가 예뻐도 카메라들어가는게 좀 오반데,
1314,차라리 전 이게 나은 거 같아요,
1315,으악 차라리 울트라가 낫네요 ...s21 왜저랩 ㅠㅠ,
1316,항상 못생겼다 욕하지만...난또 실물보면  감겨서 지르겠지...ㅎㅎㅎㅎ,
1317,와 4개면 카메라 개쩔겠다 사고 싶어요ㅠㅠ,
1318,에바 개못생겼다,
1319,저기다 고기구워도 되겠다,
1320,구라같음 카메라 4개까지는 안넣을듯,
1321,망원 카메라 두개 들어가는걸로 스펙 거의 확정났어요! 망원 두개에 광각 한개 초광각 한개 해서 총 4개 들어가는걸로... http://www.thelec.kr/news/articleView.html?idxno=7642,
1322,엥... 에바네여.....,
1323,"아 안돼 이러지마ㅠㅠ s20 건너뛰었단 말이에요ㅠㅠ s8이나 s10때가 좋았는데,,,ㅠㅠ",
1324,카메라 머선일,
1325,엑 저게뭐야,
1326,💸,
1327,제발 카메라 크기 좀 줄여주세요.. 왜 자꾸 카메라에 이를 가는건지.... 무슨 폰이 dslr도 아니고...,
1328,왜 디자인을 저 따구로 하지?,
1329,울트라니까 이해갑니당,
1330,"기본모델은 안 그래서..울트라는 20 시리즈 올해것도 못생겼더라구요ㅋㅋㅋㅋ아무래도 카메라에 초점맞춰서 그런듯싶은데.. 20+는 충분히 예쁘고, 카메라 좋으니 이거 사세요~~~갤럭시 체고색상만 갤10 프리즘화이트 내주세요,,+) 갤10,20이 예쁜 시리즈였네요ㅎ 돌려내 샘성..",
1331,추가로 본문에 올렸는데 갤럭시 S21도 유출됐어요!,
1332,"갤21 뭐야 디자인 돌려내옄ㅋㅋㅋㅋㅋㅋㅋㄱ비주얼 충격적인데요..20 울트라가 워낙 못생겼어서 21울트라도 별로 기대 안 했는데.. 갤21이 저를 배신했어요,,",
1333,음~ 진작에 바꾸길 잘했군요...^^노트20울트라는 그래도 예뻤는데...,
1334,부회장님은 뭐쓰세요?,
1335,노트20울트라 사용합니다^^,
1336,진짜...카메라...ㅋㅋ....제발 애플좀 따라하지말고 너만의 디자인을 가라고.............,
1337,....,
1338,아 왜그래 나 갤럭시 쳐돌인데 제발 정신차려 갤럭시 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
1339,카툭튀 좀..,
1340,이해가 안 가는 게 요즘 폰들 왜 디자인 포기하면서까지 카메라를 고집하는 거죠...? 진짜 이해 안 되네요... 일반인들에겐 진짜 불필요한 스펙의 카메라를 고집하면서 디자인도 망...,
1341,아 s20만큼만만들어줘요ㅠㅠㅠㅠ,
1342,"S10이 디자인은 진짜 예뻤는데,,",
1343,카메라 오반데,
1344,갤럭시 갈수록 디자인 왜 이래요 ㅠㅠㅠㅠㅠㅠㅠㅠ,
1345,"엥 S21은 저 카메라일 거면 S20이나 S10, 노트텐처럼 해도 괜찮을 거 같은데... 왜... 울트라는 기대도 안 했지만... 여기저기 왜 다 핸드폰이...",
1346,아니 카메라가 무슨일....,
1347,카메라 가운데 두면 훨씬 나을 것 같은데 노트9?10? 디자인처럼,
1348,갈수록 가관이네,
1349,S20플러스 에디션 사길 잘했다는 생각이 드네요,
1350,카메라...셀카카메라나 좀 신경써주세요.....,
1351,제 발 엣지좀 빼ㅐㅏ애ㅐㅐㅐ!!!!!,
1352,카메라좀집어치우라~~~~,
1353,노트 사길 잘했네요..,
1354,다음 폰은... 뭘로 바꾼담...,
1355,요즘 어느 곳이나 카메라에 너무 집중하는 느낌..안 예쁘다구요ㅠㅠ,
1356,음....,
1357,카메라부분 오려놓은것 같이 생겼다..,
1358,디자인 머선일이고...ㅠㅠ 다음폰은 사과폰,
1359,카메라 두개도 적당해요 ..,
1360,그냥 놑10+에 정착해서 살래요...,
1361,이제 사실 더 발전할게 없어서 카메라로 승부보는거죠 뭐.... 근데 그래도 좀 예쁘게는 힘들까요...... 근데 21 뭔가 보다보니 예쁨것같기도해요...,
1362,버티다 s20샀는데 사길 잘한듯......,
1363,아 근데 예쁜 거 같은데 뭔가...,
1364,그냥 아이폰 사야겠다...디자인 무슨일,
1365,s21에 노트펜 들어가고 노트시리즈 단종시킨다는 얘기도 들었는데 지금 렌더링 이미지로는 펜은 없는 건가여?,
1366,"넵. 물론 렌더링 유출도 100% 정확하다고 까지는 할 수 없지만 어쨋든 약 90% 이상은 큰틀에서는 확정적이라 카메라 디자인같은 부분은 바뀌지는 않을텐데, 최종적으로 어떻게 결정된지는 모르겠으나 만약 이렇게 되면 만약 S Pen을 제공한다 하더라도 추가 악세서리로 제공할 가능성도 있습니다.",
1367,아하 감사합니다ㅜㅠ,
1368,카툭튀만 빼면 이쁜데요? 삼성만 써와서 그런가 되게 이뻐보여요ㅋㅋㅋ,
1369,카메라가 엉망진창... 디자인이 정말 저게 최선입니까...ㅠㅠ,
1370,디자인 중국폰과 구글폰 그 중간... 아니 폴더블폰은 디자인 기가 막히게 뽑으면서 일반폰은 왜그를까,
1371,허..............,
1372,디자인... 너무 구린걸..,
1373,하 뒷면 갈수록...,
1374,노트텐 만들던 기억으로 삼성ㅠㅠㅠㅠㅠㅠ 뭔가 항상 변화 있는건 좋은데 엉엉ㅠㅠㅠ 모르겠다 21예정은 묘하게 자꾸보면 정들거같기도하고...,
1375,실물을 보면 난 또 호로록 감기겠지...,
1376,삼성은 실물이 예뻐서 나오면 또 괜찮을거같아요,
1377,"노트20 울트라 카툭튀만 아니면 디자인 이쁘던데,,, 카메라 링?부분ㅇㅇ 20 울트라 디자인에서 카툭튀만 수정 보지ㅠ",
1378,요번 울트라 화질 대박이던데 사눈박이면 더 대박이긴 할꺼같은데 저 엄청 못생긴거 뭔가요.... 저건 아무리 소재가 예뻐도 카메라들어가는게 좀 오반데,
1379,차라리 전 이게 나은 거 같아요,
1380,으악 차라리 울트라가 낫네요 ...s21 왜저랩 ㅠㅠ,
1381,항상 못생겼다 욕하지만...난또 실물보면  감겨서 지르겠지...ㅎㅎㅎㅎ,
1382,와 4개면 카메라 개쩔겠다 사고 싶어요ㅠㅠ,
1383,대륙의 흔한,
1384,😮,
